ROA(C) before interest and depreciation before interest,ROA(A) before interest and % after tax,ROA(B) before interest and depreciation after tax,Operating Expense Rate,Research and development expense rate,Interest-bearing debt interest rate,Tax rate (A),Net Value Per Share (B),Net Value Per Share (A),Net Value Per Share (C),Persistent EPS in the Last Four Seasons,Per Share Net profit before tax (Yuan ¥),Total Asset Growth Rate,Debt ratio %,Net worth/Assets,Net profit before tax/Paid-in capital,Total Asset Turnover,Inventory Turnover Rate (times),Fixed Assets Turnover Frequency,Net Worth Turnover Rate (times),Allocation rate per person,Working Capital to Total Assets,Quick Assets/Total Assets,Current Assets/Total Assets,Cash/Total Assets,Cash/Current Liability,Current Liability to Assets,Operating Funds to Liability,Inventory/Current Liability,Current Liabilities/Liability,Long-term Liability to Current Assets,Current Asset Turnover Rate,Quick Asset Turnover Rate,Cash Turnover Rate,Current Liability to Liability,Cash Flow to Total Assets,CFO to Assets,Current Liability to Current Assets,Liability-Assets Flag,Net Income to Total Assets,Total assets to GNP price,Equity to Liability,Cluster_ID,Bankrupt?
0.54170526,0.608046228,0.590127951,0.45845845845845845,0.05440881763527054,5.283353535353536e-13,0.141917198,0.20129788,0.20129788,0.20129788,0.248085468,0.201174964,0.9319319319319312,0.121625299,0.878374701,0.200211145,0.242878561,6.130020020020019e-14,9.761017017017016e-13,0.052741935,1.772796238244514e-13,0.788350764,0.511800269,0.536150014,0.038440057,1.704176165803109e-13,0.12382881,0.344753042,1.8395297679112008e-13,0.963618553,0.0,0.09240000000000001,0.9339999999999992,0.197,0.963618553,0.651888156,0.580822037,0.035987425,0,0.832889625,2.0046171079429942e-13,0.030706404,1,0
0.445229854,0.500272569,0.500990417,1.5221421421421423e-14,0.7805611222444889,2.7073434343434344e-13,0.0,0.156377734,0.156377734,0.156377734,0.205634868,0.160804399,0.5355355355355309,0.158327539,0.841672461,0.159791871,0.16191904,0.7857857857857858,2.5065165165165162e-14,0.046612903,8.475102403343783e-13,0.775725845,0.342297898,0.555880158,0.128716154,4.908340932642487e-13,0.144040579,0.350723366,7.869517658930373e-13,0.86602438,3.9919109014675053e-13,1.20196e-14,0.7459999999999973,0.0803,0.86602438,0.642280975,0.616109535,0.040409427,0,0.774922308,2.0621588594704898e-13,0.022788275,1,0
0.513869254,0.5611099,0.554312329,1.3577777777777777e-14,0.31162324649298595,2.4952020202020204e-13,0.283125822,0.187476297,0.187476297,0.187476297,0.222652926,0.180387136,0.6896896896896866,0.062732412,0.937267588,0.179443481,0.131934033,1.1418518518518518e-14,1.9688588588588588e-14,0.026612903,5.401006269592476e-13,0.810266667,0.287886798,0.393945908,0.101244278,9.950471502590675e-13,0.055594892,0.373679556,1.0512057517658932e-12,0.813349566,0.8480083857442348,1.1530400000000001e-14,0.8659999999999985,0.854,0.813349566,0.638231384,0.634263249,0.021872065,0,0.813265898,3.201417515274982e-13,0.061498973,1,0
0.486423244,0.548244658,0.537502008,1.1436336336336336e-14,0.03707414829659319,2.464888888888889e-13,0.184127948,0.220428975,0.220428975,0.220428975,0.224165642,0.179257362,0.64364364364364,0.099495117,0.900504883,0.178123822,0.142428786,1.6085285285285287e-14,2.8548548548548546e-14,0.032258065,8.703207941483804e-13,0.782076212,0.355596048,0.44654285,0.120667381,6.404808290155441e-13,0.103348767,0.337153752,5.08752774974773e-13,0.976476545,0.0,1.1875300000000001e-14,0.9769999999999996,0.924,0.976476545,0.619810796,0.553138464,0.035996511,0,0.805548102,2.818172097759703e-13,0.038183901,1,0
0.491200702,0.556094636,0.544943519,0.5595595595595596,0.0,7.717939393939394e-13,0.114687721,0.169145843,0.169145843,0.169145843,0.218209322,0.173834451,0.6166166166166127,0.159567071,0.840432929,0.172852726,0.136431784,1.8227527527527527e-14,3.029019019019019e-14,0.043225806,1.6376972831765935e-12,0.727896165,0.32047974,0.403868072,0.003094738,1.1260103626943006e-14,0.150985391,0.34474988,3.189922300706357e-13,0.901344106,0.0,1.08649e-14,0.8929999999999988,0.0242,0.901344106,0.627461084,0.585714717,0.05815101,0,0.802420205,3.2232189409368967e-13,0.022579896,1,0
0.454589772,0.507250327,0.503185395,3.163513513513513e-14,0.6563126252505009,1.9901010101010103e-13,0.0,0.160886604,0.160886604,0.160886604,0.207809398,0.164419673,0.6666666666666633,0.136681077,0.863318923,0.163471835,0.139430285,1.9432432432432435e-14,2.9457257257257257e-14,0.03516129,2.9129049111807734e-13,0.758858868,0.322970709,0.390484451,0.035274571,1.7257823834196891e-13,0.112164245,0.336557544,3.590806256306761e-13,0.776867538,4.932105870020965e-13,1.06187e-14,0.913999999999999,0.279,0.776867538,0.633261742,0.546420564,0.044632204,0,0.781259416,2.3902240325865823e-14,0.02695891,1,0
0.494369424,0.542139119,0.549119332,1.564974974974975e-14,0.26753507014028055,6.849171717171717e-13,0.148395587,0.177405082,0.177405082,0.177405082,0.215562069,0.171047676,0.538538538538534,0.100311395,0.899688605,0.17006259,0.107946027,0.5015015015015015,1.2494694694694694e-14,0.027741935,1.1708131661442007e-12,0.790265772,0.108987999,0.352661258,0.02770118,2.31939170984456e-13,0.065340827,0.35871012,1.8817784056508577e-12,0.608135399,1.1786194968553459e-12,1.13986e-14,0.3219999999999932,0.258,0.608135399,0.641222764,0.624007588,0.028713993,0,0.798274674,1.0836562118126384e-12,0.037854862,1,0
0.502218106,0.541757523,0.557952781,1.426066066066066e-14,0.007995991983967936,2.565909090909091e-13,0.055369977,0.183683789,0.183683789,0.183683789,0.218492956,0.173608496,0.73273273273273,0.183420504,0.816579496,0.172739612,0.091454273,1.027087087087087e-14,0.06356356356356356,0.033709677,4.0491892371995816e-12,0.724664183,0.151545647,0.237397387,0.021585081,1.1441067357512954e-13,0.103493071,0.344701611,4.4249757820383454e-13,0.533567823,3.684733018867924e-12,1.0241e-14,0.6689999999999966,0.269,0.533567823,0.646493752,0.588512369,0.06714878,0,0.800253662,5.109053971486813e-13,0.019153221,1,0
0.534636572,0.603358046,0.586112747,1.2258158158158158e-14,0.5190380761523046,1.868878787878788e-13,0.089179067,0.184189457,0.184189457,0.184189457,0.236551007,0.189575958,0.6786786786786755,0.066753333,0.933246667,0.186780786,0.089955022,2.1325925925925924e-14,2.6125325325325323e-14,0.021129032,8.017157784743992e-13,0.771838142,0.209847946,0.24112948,0.102820237,1.084860932642487e-12,0.051753288,0.37849539,3.829438950554995e-13,0.712849956,0.0,1.03506e-14,0.9439999999999993,1.2752200000000001e-14,0.712849956,0.677889627,0.649211107,0.03307231,0,0.837772958,7.590251527494986e-13,0.057777165,1,0
0.482425779,0.548517226,0.530917073,0.8758758758758759,0.0,3.656929292929293e-13,0.248102035,0.197252539,0.197252539,0.197252539,0.229932873,0.187467048,3.3023023023023517e-16,0.24207153,0.75792847,0.185144408,0.04197901,0.04974974974974975,6.41076936936937e-12,0.03,4.8184221525600837e-14,0.791961131,0.078291136,0.961314353,0.005847572,1.2848704663212437e-14,0.250330065,0.32431504,1.7630966700302724e-12,0.994618323,0.12054507337526205,1.1258430000000001e-13,0.914999999999999,0.17900000000000002,0.994618323,0.635556274,0.438036113,0.04077025,0,0.801566055,5.31579022403264e-13,0.013547116,1,0
