ROA(C) before interest and depreciation before interest,ROA(A) before interest and % after tax,ROA(B) before interest and depreciation after tax,Operating Expense Rate,Research and development expense rate,Interest-bearing debt interest rate,Tax rate (A),Net Value Per Share (B),Net Value Per Share (A),Net Value Per Share (C),Persistent EPS in the Last Four Seasons,Per Share Net profit before tax (Yuan ¥),Total Asset Growth Rate,Debt ratio %,Net worth/Assets,Net profit before tax/Paid-in capital,Total Asset Turnover,Inventory Turnover Rate (times),Fixed Assets Turnover Frequency,Net Worth Turnover Rate (times),Allocation rate per person,Working Capital to Total Assets,Quick Assets/Total Assets,Current Assets/Total Assets,Cash/Total Assets,Cash/Current Liability,Current Liability to Assets,Operating Funds to Liability,Inventory/Current Liability,Current Liabilities/Liability,Long-term Liability to Current Assets,Current Asset Turnover Rate,Quick Asset Turnover Rate,Cash Turnover Rate,Current Liability to Liability,Cash Flow to Total Assets,CFO to Assets,Current Liability to Current Assets,Liability-Assets Flag,Net Income to Total Assets,Total assets to GNP price,Equity to Liability,Cluster_ID,Bankrupt?
0.530005362,0.572884867,0.574763103,1.0255655655655656e-14,0.027254509018036072,1.4142828282828282e-13,0.259439214,0.200412962,0.200412962,0.200412962,0.235605559,0.193115915,0.6776776776776744,0.115669498,0.884330502,0.191395822,0.16191904,1.0997697697697697e-14,2.8624224224224226e-14,0.04,9.387210031347963e-13,0.829014393,0.482054643,0.610928858,0.064894254,3.5171637305699486e-13,0.101202869,0.348803891,7.316346115035317e-13,0.824851349,2.2068029350104824e-13,1.481e-14,1.9926000000000206e-15,0.445,0.824851349,0.654555993,0.595347531,0.025789656,0,0.819963004,5.973598778004134e-13,0.032441724,6,0
0.514113002,0.566779328,0.565340757,1.3114714714714714e-14,0.046993987975951904,1.8082626262626264e-13,0.154367851,0.210147065,0.210147065,0.210147065,0.2312565,0.185659411,0.6886886886886855,0.086343985,0.913656015,0.184669331,0.064467766,0.6976976976976977,0.08708708708708708,0.019032258,1.7745921630094044e-12,0.780637746,0.250131082,0.324360466,0.037732651,3.0614569948186526e-13,0.067444711,0.366600236,6.223674066599394e-13,0.727300651,6.574792452830188e-13,2.03593e-14,6.07110000000006e-15,0.646,0.727300651,0.642379287,0.638581131,0.032198762,0,0.815698137,3.0210325865580756e-13,0.044359183,6,0
0.534100327,0.584986917,0.577814658,1.3832432432432432e-14,0.35370741482965934,6.546111111111111e-13,0.168033202,0.19063672,0.19063672,0.19063672,0.236929186,0.191684869,0.07297297297296369,0.140490371,0.859509629,0.190619109,0.070464768,0.8548548548548549,1.3630630630630629e-14,0.023548387,1.2746136886102404e-12,0.750042555,0.180071764,0.245082684,0.051130683,3.618120207253886e-13,0.077401716,0.348315615,4.649017154389505e-13,0.517559385,1.8360199161425577e-12,1.42116e-14,7.512000000000079e-16,0.8270000000000001,0.517559385,0.643058554,0.599494297,0.048681551,0,0.821743765,8.902711812627382e-13,0.026130588,6,0
0.514649247,0.579971653,0.56598319,2.3173573573573574e-14,1.1483466933867735e-14,3.656929292929293e-13,0.060734892,0.188024103,0.188024103,0.188024103,0.235794649,0.187994276,0.7457457457457431,0.147201983,0.852798017,0.187037177,0.145427286,0.6196196196196196,2.9457257257257257e-14,0.041129032,6.296411703239289e-13,0.82035895,0.354101551,0.557876858,0.078276039,4.536274611398964e-13,0.094616433,0.348718675,1.1471070635721493e-12,0.606836033,1.1008940251572326e-12,1.56852e-14,6.370000000000141e-17,0.618,0.606836033,0.674031244,0.603028989,0.026391152,0,0.820147787,4.4169755600815117e-14,0.024783683,6,0
0.473894603,0.527747492,0.525991755,0.33133133133133136,0.07655310621242485,2.7073434343434344e-13,0.0,0.174371076,0.174371076,0.174371076,0.211874823,0.167959629,0.7807807807807785,0.151888019,0.848111981,0.167023603,0.103448276,0.08128128128128129,1.8628428428428427e-14,0.03,1.8141364681295717e-12,0.846059579,0.459031321,0.62876987,0.040349266,2.5254093264248706e-13,0.087572037,0.328512372,1.070973259334006e-12,0.543351698,1.1795170859538784e-12,2.62886e-14,9.480400000000093e-15,0.458,0.543351698,0.642993025,0.504942858,0.021657664,0,0.79181949,1.9932097759674338e-13,0.023907992,6,0
0.43889241,0.502071522,0.484126559,7.826006006006006e-14,1.2248997995991983e-14,0.0,0.0,0.162951414,0.162951414,0.162951414,0.20686395,0.166001356,0.5895895895895854,0.015206941,0.984793059,0.165025262,0.043478261,1.2776476476476476e-14,2.923003003003003e-14,0.013870968,1.2686311389759665e-13,0.975642236,0.871059173,0.876701727,0.029432687,8.579300518134716e-13,0.018428298,0.202918642,1.1137466195761859e-12,0.941025662,0.0,8.16607e-14,7.194150000000071e-14,0.719,0.941025662,0.614313146,0.47957605,0.003088868,0,0.778555791,0.8940936863543777,0.221132904,6,0
0.495149417,0.564053642,0.546817281,1.608958958958959e-14,0.5170340681362725,4.030707070707071e-13,0.000708574,0.174118242,0.174118242,0.174118242,0.221329299,0.17767568,0.9319319319319312,0.12528343,0.87471657,0.175793681,0.190404798,2.3009109109109107e-14,7.163633633633634e-14,0.047258065,9.803346917450366e-13,0.786882763,0.432942565,0.487399171,0.087260012,4.332941968911918e-13,0.110505373,0.34492585,3.2650080726538847e-13,0.833915418,1.8502714884696017e-13,1.10202e-14,2.2120000000000288e-16,0.5740000000000001,0.833915418,0.674439779,0.581999237,0.035292356,0,0.810481951,2.934178207739338e-13,0.029716917,6,0
0.476965827,0.545082861,0.527651373,1.3589289289289289e-14,0.0,6.889575757575758e-13,0.177548335,0.191184527,0.191184527,0.191184527,0.224543821,0.179483317,0.4374374374374318,0.16222753,0.83777247,0.178538572,0.044977511,0.05735735735735736,4.732842842842843e-14,0.021451613,4.044430721003135e-12,0.840911536,0.07257744,0.856091481,0.044734454,1.506700518134715e-13,0.163143597,0.359234342,2.398412411705348e-12,0.959252845,6.671331236897275e-14,6.80914e-14,0.5489999999999954,0.936,0.959252845,0.655699145,0.661930512,0.029758605,0,0.805763613,2.0121044806517516e-12,0.022150845,6,0
0.479354556,0.532272133,0.531452433,1.8474074074074075e-14,0.3777555110220441,6.243050505050505e-13,0.0,0.172643378,0.172643378,0.172643378,0.208282122,0.168562175,0.7197197197197169,0.153701968,0.846298032,0.167589171,0.095952024,2.3563763763763766e-14,1.1813213213213213e-14,0.028548387,1.3288958202716823e-12,0.744675475,0.242064064,0.27084886,0.038437434,2.307269430051814e-13,0.091330265,0.348574636,2.116433905146317e-13,0.560552093,2.4072376310272535e-12,1.11057e-14,3.8660000000000514e-16,0.453,0.560552093,0.65418797,0.60396459,0.052088237,0,0.79239256,1.0203646639511306e-12,0.023583315,6,0
0.508945547,0.561218927,0.557417421,2.4944644644644645e-14,1.0139478957915832e-14,5.535909090909091e-13,0.0705537,0.187223463,0.187223463,0.187223463,0.22293656,0.178052271,0.058158158158148725,0.053088249,0.946911751,0.177060554,0.101949025,0.5435435435435435,1.9385685685685687e-14,0.023064516,3.7697063740856844e-13,0.818768379,0.27231136,0.4156411,0.087195804,9.031964766839378e-13,0.052725413,0.381065197,1.4512816347124118e-12,0.90289078,7.082044025157233e-14,1.5255600000000003e-14,1.5480000000000323e-16,0.897,0.90289078,0.641265653,0.637600077,0.019657262,0,0.813637175,8.788890020366688e-14,0.072548742,6,0
